 Category,Number, Course Code, Course Title, Course Description, Credit Hours, Department
Agricultural & Food Sciences,16,ABIZ 3560,Agribusiness Portfolio Management,"The application of portfolio management to agribusiness, including asset allocation, portfolio construction and analysis, and operation of investment instruments and capital markets. Includes Canadian Securities Course. Recommended G.P.A. of 2.80 or higher. Prerequisite: Major in Agribusiness or Accounting and/or Finance, with 60 credit hours, ACC 1100 and ECON 1010 OR ECON 1020 or the former ECON 1200, or permission from instructor.",3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,17,ABIZ 4120,Intermediate Econometrics,"A course in applied econometrics that explores the regression model and how it may be applied. Special emphasis is placed on violations to the assumptions of least squares, specification error, and applying the model to production, marketing, forecasting and other applications. Also offered as ECON 4120 by the Department of Economics. Prerequisite: Written consent of instructor; this course assumes students have had a sound background in economic theory (e.g. micro and macro), as well as single variable calculus, linear algebra, and basic statistics. ABIZ 3080 or ECON 3180 is highly recommended.",3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,18,ABIZ 4240,Agricultural Economics Special Project,Students will undertake a project to analyze an applied problem and present results in a research and/or extension paper. A list of relevant readings will be assigned. Permission of the Department Head required.,3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,19,ABIZ 4260,Price Analysis,"Theory and methods of price analysis, commodity markets and the demand and supply factors that underpin seasonal, cyclical and secular changes in commodity prices. Not to be held with ABIZ 4250. Prerequisites: [ ECON 2010 or the former ECON 2450] and [ ABIZ 3080 or ECON 3040 or the former ECON 3180].",3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,20,ABIZ 4500,Agribusiness Strategies Seminar,"This course will provide participants with insights into management strategies and decision making, as well as the responsibilities, tensions and pressures encountered by senior management. Some classes will include participation by senior management followed by a debriefing session. Prerequisites: ACC 1100 (C) and ABIZ 1000 (C) and 84 credit hours completed toward the Agribusiness degree program.",3,Agribusiness and Agric Econ Department
Management,21,ACC 1100,Introductory Financial Accounting,(Lab required) Examination of accounting postulates underlying the preparation and presentation of financial statements.,3,Accounting and Finance Department
Management,22,ACC 1101,Introduction à la comptabilité financière,"(Laboratoire requis) Analyse des termes, des principes et des concepts utilisés dans la préparation et la présentation d'états financiers. On ne peut se faire créditer ACC 1101 et ACC 1100.",3,Accounting and Finance Department
Management,23,ACC 1110,Introductory Managerial Accounting,(Lab required). Role of accounting in creation and application of business information used by decision-makers in the management of enterprise. Prerequisite: ACC 1100 (009.110) (D). Prerequisite or Concurrent Requirement: ECON 1010 (D) and ECON 1020 (D) or the former ECON 1200 (D).,3,Accounting and Finance Department
Management,24,ACC 1111,Introduction à la comptabilité de management,"(Laboratoire requis) L'importance des méthodes comptables dans la gestion de l'information utilisées par la direction d'une entreprise. Préalable: ACC 1101 ou ACC 1100 avec une note minimale de D. On ne peut se faire créditer ACC 1111 et ACC 1110. Préalables ou concomittants: un de ECON 1201, ECON 1200, ECON 1011 ou ECON 1010 avec une note minimale de D et ECON 1021 ou ECON 1020 avec une note minimale de D.",3,Accounting and Finance Department
Management,25,ACC 2010,Intermediate Accounting,Accounting policies and practices dealing with calculation and measurement of assets and related reporting problems. Prerequisite: ACC 1100 (C+).,3,Accounting and Finance Department
Management,26,ACC 2011,Comptabilité intermédiaire,"Cadre théorique de la comptabilité relatif aux principes et procédures d'analyse et mesure des actifs. Analyse comptable approfondie des postes de l'actif: encaisse, créances, stocks, placements, immobilisations corporelles et incorporelles et amortissement. Préalable: ACC 1101 avec une note minimal de C+.",3,Accounting and Finance Department
Management,27,ACC 2020,Intermediate Accounting,"Consideration of current accounting relating to equities with attention to the accounting treatment of current and long-term liabilities, income tax allocation, share capital, and surplus. May not be held with FIN 3250 or ACC 2021. Prerequisites: (ACC 2010 or ACC 2011) and (FIN 2200 or FIN 2201).",3,Accounting and Finance Department
Management,28,ACC 2021,Comptabilité intermédiaire,"Cadre théorique de la comptabilité relatif aux capitaux propres avec une accent sur le traitement comptable des passifs à court et à long terme, les régimes de retraite, les impôts sur les bénéfices, les actions et les surplus. On ne peut se faire créditer ACC 2021 et ACC 2020 ou FIN 3250. Préalable: Une note minimale de C dans (ACC 2011 ou ACC 2010) et (FIN 2201 ou FIN 2200).",3,Accounting and Finance Department
Management,29,ACC 3030,Advanced Accounting,"Topics include: partnerships, consolidations, mergers, reporting on conglomerates, and fund accounting. Not offered every year. May not be held with ACC 3031.Prerequisites: (ACC 2010 (C) or ACC 2011 (C)) and (ACC 2020 (C) or ACC 2021 (C)).",3,Accounting and Finance Department
Management,30,ACC 3031,Comptabilité avancée,Société en nom collectif; consolidation; regroupements d'entreprises; états financiers consolidés; comptabilité des organismes à but non lucratif et des organismes du secteur public. Ce cours n'est pas offert à chaque année. On ne peut se faire créditer ACC 3031 et ACC 3030. Préalables: Une note minimale de C dans (ACC 2011 ou ACC 2010) et (ACC 2021 ou ACC 2020).,3,Accounting and Finance Department
Management,31,ACC 3040,Cost Accounting,"Study of accounting concepts and functions as they relate to product costing, planning, control, and decision-making. Prerequisite: ACC 1110 (C+).",3,Accounting and Finance Department
Management,32,ACC 3041,Comptabilité de coûts,"Utilité de la comptabilité de management et prise de décision, concepts de couts, systèmes de couts, analyse de la performance financière. On ne se peut faire créditer ACC 3041 et ACC 3040. Préalable : ACC 1111 ou ACC 1110 avec une note minimale de C+.",3,Accounting and Finance Department
Management,33,ACC 3080,Canadian Income Taxation,"(Lab required). Structure and concepts of the Canadian income tax system, calculation of income and tax thereon for individuals and corporations, introduction to planning principles. May not be held with ACC 3050 or ACC 3051. Prerequisite: ACC 1100 (C+).",3,Accounting and Finance Department
Management,34,ACC 3081,Comptabilité fiscale,"Structure et concepts du système fiscal canadien, calcul du revenu et impôts sur le revenu des particuliers et sociétés, planification fiscale. Ce cours vise l'acquisition d'une compréhension globale de la Loi de l'impôt sur le revenu fédéral et de son application. Pour ce faire, la Loi est abordée à partir de l'analyse de problèmes et de cas pratiques. Les sujets étudiés comprennent l'administration du système fiscal, la résidence, le revenu d'emploi, le revenu d'entreprise et de biens, les gains en capital, d'autres revenus et déductions et le calcul du revenu imposable et des impôts exigibles, et ce, principalement pour les particuliers et les corporations. On ne peut se faire créditer ACC 3081 et ACC 3080, ou l'ancien ACC 3050, ou l'ancien ACC 3051 et ACC 3081. Préalable : ACC 1101 ou ACC 1100 avec une note minimale de C+.",3,Accounting and Finance Department
Management,35,ACC 3530,Accounting Information Systems,Role of accounting systems in total management information systems; design and installation of accounting systems. Prerequisites: ACC 1110 or ACC 1111 (D) and MIS 2000 or MIS 2001 (D).,3,Accounting and Finance Department
Management,36,ACC 4010,Auditing,"Study of philosophy and concepts of auditing, legal and ethical responsibilities of the auditor, basic techniques of auditing including statistical sampling and flowcharting, and the operational audit. May not be held with ACC 4011. Prerequisites: (ACC 2010 (C) or ACC 2011 (C)) and (ACC 2020 (C) or ACC 2021 (C)).",3,Accounting and Finance Department
Management,37,ACC 4011,Vérification,"Étude de la philosophie et des notions de la vérification, des responsabilités légales et éthiques d'un vérificateur, des techniques de base de la vérification comptable, y compris l'échantillonnage statistiques et l'établissement d'organigrammes, et de la vérification de gestion. On ne peut se faire créditer ACC 4011 et ACC 4010. Préalables: Une note minimale de C dans (ACC 2011 ou ACC 2010) et (ACC 2021 ou ACC 2020).",3,Accounting and Finance Department
Management,38,ACC 4030,Accounting Theory,Examination of principles and postulates of accounting theory. Coverage of selected topics will vary from year to year depending on interests of course participants. May not be held with ACC 4031. Prerequisites: (ACC 2020 or ACC 2021 (C)) and (FIN 2200 or FIN 2201 (C)).,3,Accounting and Finance Department
Management,39,ACC 4031,Théorie comptable,"Évolution de la théorie comptable, processus de normalisation et influence du milieu sur son cheminement, étude des modèles de mesure des bénéfices, théorie d'agence, hypothèse de l'efficience des marchés de capitaux, etc. Contenu variable d'année en année selon les besoins des étudiantes et des étudiants, et selon la spécialité du professeur ou dela professeure. On ne peut se faire créditer ACC 4031 et ACC 4030. Préalables: Une note minimale de C dans (ACC 2021 ou ACC 2020) et (FIN 2201 ou FIN 2200).",3,Accounting and Finance Department
Management,40,ACC 4040,Advanced Managerial Accounting,A critical examination of managerial accounting techniques and the controllership function. Prerequisite: ACC 3040 (D).,3,Accounting and Finance Department
Management,41,ACT 2020,Economic and Financial Applications,"A synthesis of macroeconomic issues, quantitative aspects of finance using interest theory, and insurance economics.",3,Actuarial Studies and Research Department
Management,42,ACT 2120,Interest Theory,"The application of calculus and probability to discrete and continuous interest functions. Key topics are the measurement of interest, present and accumulated values, and annuities. May not be held with the former ACT 3320. Prerequisite: MATH 1232 (C) or MATH 1690 (C) or MATH 1700 (B) or MATH 1710 (B). Prerequisite or co-requisite: [MATH 2720 or MATH 2721(D)] or [MATH 2731 or the former MATH 2750 or MATH 2730 (D)] and STAT 2400 (D).",3,Actuarial Studies and Research Department
Management,43,ACT 2210,Introduction to Risk Management,Mathematical tools for the quantitative assessment of risk and their application to problems encountered in risk management. Prerequisite or co-requisite: STAT 2400 (D) or consent of instructor.,3,Actuarial Studies and Research Department
Management,44,ACT 2321,Mathématiques financières,"Étude de l'intérêt composé et des rentes discrètes et continues; équations de valeur, analyse de fonds; détermination de taux de rendement; construction de tables. On ne peut se faire créditer ACT 2321 et ACT 2320 et ACT 3320. Préalable: MATH 1500 ou MATH 1501 ou MATH 1520, ou l'équivalent.",3,Actuarial Studies and Research Department
Management,45,ACT 3130,Actuarial Models 1,Elementary concepts respecting the quantification of the financial impact of contingent payments. May not be held with ACT 3630. Prerequisites: ACT 2120 (C+) and [STAT 2800 (D) or the former STAT 3400 (D) or the former STAT 3500 (D)].,3,Actuarial Studies and Research Department
Management,46,ACT 3230,Actuarial Models 2,Intermediate and advanced concepts respecting the quantification of the financial impact of contingent payments. Not to be held with ACT 3630. Prerequisite: ACT 3130 (C+).,3,Actuarial Studies and Research Department
Management,47,ACT 3340,Financial Derivatives for Actuarial Practice,Introduction of interest rate models and rational valuation of derivative securities. Prerequisite: ACT 2020 (C+) or consent of instructor.,3,Actuarial Studies and Research Department
Management,48,ACT 3530,Actuarial Models 4,"Survival Models, Stochastic Process Models, and Simulation Models. May not be held with the former 010.447. Prerequisite: ACT 3130 (C+). Prerequisite or Concurrent Requirement: ACT 3230 (D).",3,Actuarial Studies and Research Department
Management,49,ACT 3630,Models for Life Contingencies,Knowledge of the theoretical basis of contingent payment models and the application of those models to insurance and other financial risks. Not to be held with ACT 3130 and ACT 3230. Pre- or co-requisite: ACT 2120 (C+); and [STAT 2800 (C) or the former STAT 3400 (C) or the former STAT 3500(C)].,6,Actuarial Studies and Research Department
Management,50,ACT 4000,Advanced Actuarial Topics,A selection of advanced topics of current actuarial interest. Prerequisite: ACT 3230 (D).,3,Actuarial Studies and Research Department
Management,51,ACT 4010,Regression Modeling in Actuarial Science,"Construction of generalized linear models and regression-based time series models with actuarial applications. May not be held with IDM 4050 when titled Time Series and Regression Analysis for Management"". Pre- or co-requisite: STAT 2800 (D) or the former STAT 3400 (D) or the former STAT 3500 (D).""",3,Actuarial Studies and Research Department
Management,52,ACT 4020,Short Term Actuarial Mathematics I,"Introduction to useful frequency and severity models, aggregate models, coverage modifications, risk measures and construction and selection of parametric models. This course covers part of the learning objectives of Short-Term Actuarial Mathematics Exam by the Society of Actuaries (SoA). May not be held with the former ACT 4140 or the former ACT 4630. Pre- or co-requisite: STAT 2800 (D) or the former STAT 3400 (D) or the former STAT 3500(D).",3,Actuarial Studies and Research Department
Management,53,ACT 4030,Short Term Actuarial Mathematics II,"Introduction to useful credibility theory, insurance and reinsurance coverage, and pricing and reserving for short term insurance coverages. This course covers part of the learning objectives of Short-Term Actuarial Mathematics Exam by the Society of Actuaries (SoA). May not be held with the former ACT 4240 or the former ACT 4630. Prerequisite: ACT 4020 (C+) (or the former ACT 4140(C+)).",3,Actuarial Studies and Research Department
Management,54,ACT 4060,Actuarial Aspects of Investment Practice,This course examines stochastic interest rates and tools and techniques for coping with general product issues in asset/liability management. May not be offered every year. Students may not hold credit for both ACT 4060. Prerequisites: FIN 2200 (C+).,3,Actuarial Studies and Research Department
Management,55,ACT 4150,Pension Mathematics,"Actuarial applications for defined benefit pension plans. Actuarial cost methods, funding levels, operation of pension plans from an actuarial perspective. Students may not hold credit with ACT 7550. May not be offered every year. Prerequisite: ACT 3230 (D).",3,Actuarial Studies and Research Department
Management,56,ACT 4160,Introduction to Property and Casualty Insurance Industry,The introduction to the Property and Casualty Insurance Industry and the discussion of relevant topics. Pre- or Corequisite: ACT 2120 (C+) or consent of instructor.,3,Actuarial Studies and Research Department
Management,57,ACT 4250,Managing Insurance Operations in the International Business Environment,"Introduction of the risks inherent in insurance products and assets, as well as the relationships between assets and liabilities across the entire operations of the global insurance enterprise. Prerequisites: FIN 2200 (C+) or consent of instructor.",3,Actuarial Studies and Research Department
Management,58,ACT 4340,Actuarial Modeling Methods 3,"Classical, Bayesian and Buhlmann Credibility Models. The connection between Credibility Theory and Experience Rating. Underlying assumptions for the different methods. Simulation in Estimating and Fitting Actuarial Models. May not be offered every year. Prerequisite: ACT 4020 (C+) (or the former ACT 4140(C+)).",3,Actuarial Studies and Research Department
Agricultural & Food Sciences,59,AGEC 2370,Principles of Ecology,"(Lab required) Principles of ecology at the individual, population, community, and ecosystem levels. May not be held with BIOL 2300 or BIOL 2301 or BIOL 2390. Prerequisite: BIOL 1030 (BIOL 1031) or BIOE 2590.",3,General Agriculture Department
Agricultural & Food Sciences,60,AGRI 1010,Business Communication,"Strengthen the thinking, writing, speaking and listening skills required by IEAP students to succeed in the agricultural, food science or agri-business world. Students will develop an understanding of cultural influence in communication tasks used in academic and workplace settings. Pre-requisite: Must be enrolled in the Internationally Educated Agrologists Program.",3,General Agriculture Department
Agricultural & Food Sciences,61,AGRI 1600,Introduction to Agrifood Systems,"(Lab required) This course explores agricultural production systems with special focus on the Canadian Prairies. Students will develop scholarly, social, communication and professional skills that will enable them to be successful in the application of technical knowledge to food production challenges. This course will include a field trip component. May not be held with the former AGRI 1500.",3,General Agriculture Department
Agricultural & Food Sciences,62,AGRI 2002,Agricultural and Food Sciences Co,"A work assignment of a minimum of 420 hours in business, industry, government or research for co-operative education students. Requires submission of a written report covering the work completed during the professional assignment. This course is restricted to students where a co-operative education work term placement in the Agricultural and Food Sciences Co-operative Edcuation Program has been confirmed. May not be held with the former AGRI 4550. Course evaluated on a pass/fail basis.",3,General Agriculture Department
Agricultural & Food Sciences,63,AGRI 2030,Technical Communications,"Lectures and workshops to develop written and oral communication skills for preparing and presenting scientific and technical reports. Basic composition skills, communication graphics and job interview techniques are included. Prerequisite: 24 credit hours of University coursework.",3,General Agriculture Department
Agricultural & Food Sciences,64,AGRI 2180,Introductory Toxicology,"A survey of general principles underlying the effects of toxic substances on biological systems, including history, scope and applications of toxicology, the mechanisms of toxic action, and some major types of toxicants. This course is co-taught with BIOL 2380 and ENVR 2180. May not be held with BIOL 2380 (BIOL 2381), the former BIOL 2382, ENVR 2180, ENVR 2190 or the former AGRI 2190. Prerequisites: [BIOL 1030 (BIOL 1031) or HEAL 1502] and [(CHEM 1100 (CHEM 1101) and CHEM 1120 (CHEM 1121)) or one of CHEM 1110 (CHEM 1111) or CHEM 1130 or the former CHEM 1320 or the former CHEM 1310 (the former CHEM 1311)].",3,General Agriculture Department
Agricultural & Food Sciences,65,AGRI 2300,Indigenous Issues in Food Systems,An overview of the historical and contemporary relationships between food systems and Indigenous people. The course will provide background to allow students to craft their own solutions to food system issues faced by Indigenous people.,3,General Agriculture Department
Agricultural & Food Sciences,66,AGRI 2400,Experimental Methods in Agricultural and Food Sciences,"(Lab required) Experimental design and data analysis using examples relevant to agricultural, food and human nutritional sciences. Ethics in research; critical thinking in data analysis; quantitative data analysis methods; applications of statistical analyses. Prerequisite: AGRI 1600 or HNSC 1200 or HNSC 1210 or the former AGRI 1500.",3,General Agriculture Department
Agricultural & Food Sciences,67,AGRI 2500,Managing Farm Safety,"This course provides introductory information on farm safety. It is designed to raise awareness about safety issues and legislation in the agricultural industry, and to encourage students to reflect upon safety at their own worksite or in farm operation. May not be held with the former DAGR 0520 or DAGR 0660 when titled “Introduction to Farm Safety.”",3,General Agriculture Department
Agricultural & Food Sciences,68,AGRI 2510,Managing Farm Business Transition,"This course is designed to provide students with the tools and knowledge to incorporate transition management into farm business management planning. Students will be introduced to profiles/dynamics, business structures, as well as financial and managerial influences that affect farm and business transition options. There will be an application of real farm examples as context to the instructional material. May not be held with the former DAGR 0550 or DAGR 0660 when titled “Succession/Transition Considerations in Farm Management.”",3,General Agriculture Department
Agricultural & Food Sciences,69,AGRI 3002,Agricultural and Food Sciences Co,"A work assignment of a minimum of 420 hours in business, industry, government or research for co-operative education students. Requires submission of a written report covering the work completed during the professional assignment. This course is restricted to students where a co-operative education work term placement in the Agricultural and Food Sciences Co-operative Education Program has been confirmed. Course evaluated on a pass/fail basis. May not be held with the former AGRI 4560. Prerequisites: AGRI 2002 or the former AGRI 4550.",3,General Agriculture Department
Agricultural & Food Sciences,70,AGRI 3030,Modern Topics in Agriculture 1,An interdisciplinary course including topical national and international issues in agriculture. The course will vary from year to year to provide material of current interest in a wide variety of subject areas. Student participation by means of seminars will be encouraged.,3,General Agriculture Department
Agricultural & Food Sciences,71,AGRI 3040,Modern Topics in Agriculture 2,Similar to AGRI 3030.,3,General Agriculture Department
Agricultural & Food Sciences,72,AGRI 4000,Practising the Profession of Agrology 1,"Introduction to the profession of Agrology in Manitoba with an emphasis on understanding the structure of the agriculture industry, the agriculture network and how it functions. Laboratory sessions will focus on guest speakers and tours of companies and agencies in the agriculture industry. Prerequisite: Must be enrolled into the Internationally Educated Agrologists Program (IEAP).",3,General Agriculture Department
Agricultural & Food Sciences,73,AGRI 4002,Agricultural and Food Sciences Co,"A work assignment of a minimum of 420 hours in business, industry, government or research for co-operative education students. Requires submission of a written report covering the work completed during the professional assignment. This course is restricted to students where a co-operative education work term placement in the Agricultural and Food Sciences Co-operative Education Program has been confirmed. Course evaluated on a pass/fail basis. May not be held with the former AGRI 4570. Prerequisites: AGRI 3002 or the former AGRI 4560.",3,General Agriculture Department
Agricultural & Food Sciences,74,AGRI 4010,Practising the Profession of Agrology II,"This course will cover the role of a practising agrologist in Manitoba, with an emphasis on professional ethics and responsibilities, regulations of the agriculture profession in Canada, and the culture of the work environment. Laboratory sessions focus on guest speakers and tours of companies and agencies in the agriculture industry. Prerequisite: Students must be enrolled in the Internationally Educated Agrologists Program.",3,General Agriculture Department
Agricultural & Food Sciences,75,AGRI 4100,Current Issues in Agricultural Systems,"Integration of current issues in agricultural systems including land, plant, and animal systems, coupled to the food and nutrition needs of society. Emphasis on ethics, equity, economics, and professional approaches to challenges in food systems using case studies, teamwork and scientific communication to specialists and the public. This is a capstone course restricted to students in year 4 of the B.Sc. Agribusiness, Agriculture, or Agroecology degree programs. May not be held with FOOD 4100 or HNSC 4100. Prerequisites: AGRI 2030 and Faculty approval.",3,General Agriculture Department
Medicine,76,ANAT 1030,Human Anatomy,"To present the essentials of the organization and structure of the human body. Surface, functional and applied anatomy will be taken into consideration. For Pharmacy students only.",3,Human Anat and Cell Science Department
Agricultural & Food Sciences,77,ANSC 2500,Animal Production,"(Lab required) Production practices in the major animal industries in Canada, focusing on key factors including the biology of growth, reproduction and nutrition. Issues related to welfare, environment, housing, and contributions to the Canadian economy are introduced. Prerequisite: AGRI 1600 (or the former AGRI 1510) (D).",3,Animal Science Department
Agricultural & Food Sciences,78,ANSC 2510,Anatomy and Physiology 1: Control Systems,"(Lab required) This course covers the structure, functions and interactions of the coordinating/regulatory systems in the animal body, including the nervous, muscular, cardiovascular, respiratory, renal and endocrine systems.",3,Animal Science Department
Agricultural & Food Sciences,79,ANSC 2520,Anatomy and Physiology 2: Nutrient Utilization,"(Lab required) This course deals with the digestion, absorption and utilization of nutrients by farmed species. Basic characteristics of the digestive system, aspects of regulation of feed intake and rates of passage, intermediary metabolism of nutrients, growth and development, health, and other factors influencing nutrient utilization. Prerequisites: ANSC 2510 and [CHEM/MBIO 2730 and one of CHEM 2740 or CHEM 1120 (CHEM 1121)] or [the former CHEM/MBIO 2770] or [CHEM/MBIO 2700 (CHEM/MBIO 2701) and one of CHEM 2720 (CHEM 2721) or CHEM 1120 (CHEM 1121)] or [the former CHEM/MBIO 2360 (the former CHEM/MBIO 2361)].",3,Animal Science Department
Agricultural & Food Sciences,80,ANSC 2540,Companion Animal Nutrition and Management,"This course covers the functional anatomy, genetics, nutrition, reproduction, behaviour, and diseases of non-equine companion animals and ornamental fish.",3,Animal Science Department
Agricultural & Food Sciences,81,ANSC 3500,Principles of Animal Genetics,"Topics discussed will include population genetics, quantitative variation, selection and mating systems with particular reference to domestic species. Prerequisite: PLNT 2520.",3,Animal Science Department
Agricultural & Food Sciences,82,ANSC 3510,Feeds and Feeding,"A detailed discussion of feedstuffs used for domestic animals, animal nutrient requirements, ration balancing, feedstuff processing and feed safety. Prerequisite: ANSC 2520.",3,Animal Science Department
Agricultural & Food Sciences,83,ANSC 3520,Animal Reproduction,The comparative anatomy and physiology of reproduction of farmed animals will be emphasized. Focus will be on the natural synchronization of reproductive processes and the potential to regulate and improve reproductive efficiency. Prerequisite: ANSC 2510.,3,Animal Science Department
Agricultural & Food Sciences,84,ANSC 3530,The Animal and Its Environment,"(Lab required) This course explores how an animal is influenced by its environment with respect to effects upon health, welfare and performance. Principles of farmed animal behaviour, welfare and behavioural management, health, and facility design and modification will be considered in the context of animal/environment interactions. Prerequisite: ANSC 2510 (D).",3,Animal Science Department
Agricultural & Food Sciences,85,ANSC 4090,Livestock Problems,"A minor thesis on livestock problems, prepared by the student under direction. (For Animal Systems Majors only). Prerequisite: Consent of department head.",3,Animal Science Department
Agricultural & Food Sciences,86,ANSC 4220,Animal Science Investigations,"Minor research on some problem in animal science. Instruction and supervision in setting up the project, in collecting and processing data, and in writing the report. (For fourth-year students in Animal Systems Major only.) Prerequisite: Consent of Department Head.",6,Animal Science Department
